Image,Dice,IoU,Sensitivity,Specificity,Precision,F1_Score,TP,TN,FP,FN
TCGA_FG_6689_20020326_14.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_FG_6690_20020226_25.tif,0.0,0.0,0.0,1.0,1.0,0.0,0,16345,0,39
TCGA_FG_6690_20020226_51.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_FG_6690_20020226_35.tif,0.848,0.7361,0.8908,0.9985,0.8092,0.848,106,16240,25,13
TCGA_FG_6690_20020226_40.tif,0.0,0.0,1.0,0.9999,0.0,0.0,0,16382,2,0
TCGA_FG_6690_20020226_49.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_FG_6690_20020226_9.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_FG_6691_20020405_6.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_FG_6691_20020405_41.tif,0.0,0.0,1.0,0.9935,0.0,0.0,0,16277,107,0
TCGA_FG_6692_20020606_20.tif,0.6987,0.5369,0.8137,0.9897,0.6121,0.6987,262,15896,166,60
TCGA_FG_6692_20020606_26.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
